SampleName	SampleName_inExp	path	Exp	Endedness	Status	TPM_column	knockout	timepoint
WT_0h_Rep1_dlck_Ets1KO_invitro	WT1	/blue/m.pipkin/stsuda/ATAC_Ets1KO_invitro	Ets1KO_invitro	PE	WT_0h_Ets1KO_invitro	X.blue.m.pipkin.stsuda.ATAC_Ets1KO_invitro.WT1.bam	WT	0
WT_2h_Rep1_dlck_Ets1KO_invitro	WT2	/blue/m.pipkin/stsuda/ATAC_Ets1KO_invitro	Ets1KO_invitro	PE	WT_2h_Ets1KO_invitro	X.blue.m.pipkin.stsuda.ATAC_Ets1KO_invitro.WT2.bam	WT	2
WT_6h_Rep1_dlck_Ets1KO_invitro	WT3	/blue/m.pipkin/stsuda/ATAC_Ets1KO_invitro	Ets1KO_invitro	PE	WT_6h_Ets1KO_invitro	X.blue.m.pipkin.stsuda.ATAC_Ets1KO_invitro.WT3.bam	WT	6
WT_12h_Rep1_dlck_Ets1KO_invitro	WT4	/blue/m.pipkin/stsuda/ATAC_Ets1KO_invitro	Ets1KO_invitro	PE	WT_12h_Ets1KO_invitro	X.blue.m.pipkin.stsuda.ATAC_Ets1KO_invitro.WT4.bam	WT	12
WT_24h_Rep1_dlck_Ets1KO_invitro	WT5	/blue/m.pipkin/stsuda/ATAC_Ets1KO_invitro	Ets1KO_invitro	PE	WT_24h_Ets1KO_invitro	X.blue.m.pipkin.stsuda.ATAC_Ets1KO_invitro.WT5.bam	WT	24
WT_48h_Rep1_dlck_Ets1KO_invitro	WT6	/blue/m.pipkin/stsuda/ATAC_Ets1KO_invitro	Ets1KO_invitro	PE	WT_48h_Ets1KO_invitro	X.blue.m.pipkin.stsuda.ATAC_Ets1KO_invitro.WT6.bam	WT	48
KO_0h_Rep1_dlck_Ets1KO_invitro	KO7	/blue/m.pipkin/stsuda/ATAC_Ets1KO_invitro	Ets1KO_invitro	PE	KO_0h_Ets1KO_invitro	X.blue.m.pipkin.stsuda.ATAC_Ets1KO_invitro.KO7.bam	Ets1	0
KO_2h_Rep1_dlck_Ets1KO_invitro	KO8	/blue/m.pipkin/stsuda/ATAC_Ets1KO_invitro	Ets1KO_invitro	PE	KO_2h_Ets1KO_invitro	X.blue.m.pipkin.stsuda.ATAC_Ets1KO_invitro.KO8.bam	Ets1	2
KO_6h_Rep1_dlck_Ets1KO_invitro	KO9	/blue/m.pipkin/stsuda/ATAC_Ets1KO_invitro	Ets1KO_invitro	PE	KO_6h_Ets1KO_invitro	X.blue.m.pipkin.stsuda.ATAC_Ets1KO_invitro.KO9.bam	Ets1	6
KO_12h_Rep1_dlck_Ets1KO_invitro	KO10	/blue/m.pipkin/stsuda/ATAC_Ets1KO_invitro	Ets1KO_invitro	PE	KO_12h_Ets1KO_invitro	X.blue.m.pipkin.stsuda.ATAC_Ets1KO_invitro.KO10.bam	Ets1	12
